AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
RbP gene (renin-binding protein) extracted from Human Xq28 genomic DNA in the region of the L1CAM locus containing the genes for neural cell adhesion molecule L1 (L1CAM), arginine-vasopressin receptor (AVPR2), C1 p115 (C1), ARD1 N-acetyltransferase related protein (TE2), renin-binding protein (RbP), host cell factor 1 (HCF1), and interleukin-1 receptor-associated kinase (IRAK) genes, and Xq28lu2 gene,U52112_rna5_at
Inwardly rectifying potassium channel Kir3.3 mRNA,U52152_at
Inwardly rectifying potassium channel Kir3.2 mRNA,U52153_at
Clone KGP G-protein coupled inwardly rectifying potassium channel mRNA,U52154_at
Inward rectifier potassium channel Kir1.2 (Kir1.2) mRNA, partial cds,U52155_at
GOK (STIM1) mRNA,U52426_at
RNA polymerase II seventh subunit (rpb-7) gene,U52427_rna1_at
RIG-G mRNA,U52513_at
Grb2-related adaptor protein (Grap) mRNA,U52518_at
GB DEF = Arfaptin 1, putative target protein of ADP-ribosylation factor, mRNA,U52521_at
Arfaptin 2, putative target protein of ADP-ribosylation factor, mRNA,U52522_at
IRF4 Interferon regulatory factor 4,U52682_at
GB DEF = Tenascin-X (XB) mRNA, RACE clone N1, partial cds,U52700_at
Cri-du-chat region mRNA, clone NIBB11,U52827_at
GB DEF = Cri-du-chat region mRNA, clone CSC8,U52830_at
Cri-du-chat region mRNA, clone CSA1,U52840_at
RNA polymerase II holoenzyme component SRB7 (SRB7) mRNA,U52960_at
BRAIN SPECIFIC POLYPEPTIDE PEP-19,U52969_at
KNP-Ia,U53003_at
PPP1CA Protein phosphatase 1, catalytic subunit, alpha isoform,U53174_at
Transformer-2 alpha (htra-2 alpha) mRNA,U53209_at
SNX1 Sorting nexin 1,U53225_at
Neutral amino acid transporter B mRNA,U53347_at
P38Beta MAP kinase mRNA,U53442_at
Ovarian cancer downregulated myosin heavy chain homolog (Doc1) mRNA,U53445_at
Mitogen-responsive phosphoprotein (DOC-2) mRNA,U53446_at
NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA,U53468_at
Proto-oncogene Wnt7a mRNA,U53476_at
Type II iodothyronine deiodinase mRNA,U53506_at
EVPL Envoplakin,U53786_at
Interferon regulatory factor 7 (humirf7) mRNA,U53830_at
PDK4 Pyruvate dehydrogenase kinase, isoenzyme 4,U54617_at
14-3-3 epsilon mRNA,U54778_at
Has2 mRNA,U54804_at
LGN protein mRNA,U54999_at
K-Cl cotransporter (hKCC1) mRNA,U55054_at
Gamma-glutamyl hydrolase (hGH) mRNA,U55206_at
Myosin VIIa transcript 2 mRNA,U55209_at
GB DEF = HBRAVO/Nr-CAM precursor (hBRAVO/Nr-CAM) gene,U55258_at
Estrogen sulfotransferase mRNA, partial cds,U55764_at
Rev interacting protein Rip-1 mRNA,U55766_at
130 kD Golgi-localized phosphoprotein (GPP130) mRNA,U55853_at
GB DEF = SNAP-23 mRNA,U55936_at
PWP2H protein mRNA,U56085_at
Adhesion molecule DNAM-1 mRNA,U56102_at
HIG-1 mRNA,U56244_at
Lysophosphatidic acid acyltransferase-alpha mRNA,U56417_at
Lysophosphatidic acid acyltransferase-beta mRNA,U56418_at
Capping protein alpha subunit isoform 1 mRNA,U56637_at
DNase1-Like III protein (DNAS1L3) mRNA,U56814_at
Kinase Myt1 (Myt1) mRNA,U56816_at
VHL binding protein-1 (VBP-1) mRNA, partial cds,U56833_at
Calmodulin dependent phosphodiesterase PDE1B1 mRNA,U56976_at
Putative serine/threonine protein kinase PRK (prk) mRNA,U56998_at
WD protein IR10 mRNA,U57057_at
Small GTP-binding protein rab30,U57092_at
Small GTP-binding protein rab27b mRNA,U57093_at
Small GTP-binding protein mRNA,U57094_at
APEG-1 mRNA,U57099_at
GCN5 (hGCN5) gene,U57316_at
P300/CBP-associated factor (P/CAF) mRNA,U57317_at
Myelodysplasia/myeloid leukemia factor 2 (MLF2) mRNA,U57342_at
Sodium channel 1 (hBNaC1) mRNA,U57352_at
PEDF Pigment epithelium-derived factor,U57450_at
GB DEF = SNF1-like protein kinase mRNA, partial cds,U57452_at
GB DEF = Jumonji putative protein (jumonji) mRNA,U57592_at
Retinitis pigmentosa GTPase regulator (RPGR) mRNA,U57629_at
Signaling inositol polyphosphate 5 phosphatase SIP-110 mRNA,U57650_at
L-kynurenine hydrolase mRNA,U57721_at
Zinc finger protein (LD5-1) mRNA,U57796_at
Integral membrane protein CII-3 mRNA, nuclear gene encoding mitochondrial protein,U57877_at
Fetal brain (239FB) mRNA, from the WAGR region,U57911_at
GB DEF = Myotubularin related protein 1 (MTMR1) gene, partial cds,U58032_at
GB DEF = Myotubularin related protein 2 (MTMR2) gene, partial cds,U58033_at
GB DEF = Myotubularin related protein 3 (MTMR3) gene, partial cds,U58034_at
PRSM1 Metallopeptidase 1 (33 kD),U58048_at
Hs-cul-1 mRNA,U58087_at
Hs-cul-3 mRNA, partial cds,U58089_at
Hs-cul-4A mRNA, partial cds,U58090_at
GB DEF = Hs-cul-4B mRNA, partial cds,U58091_at
TSPY Testis specific protein, Y-linked,U58096_at
GB DEF = Bumetanide-sensitive Na-K-2Cl cotransporter (NKCC2) mRNA,U58130_at
Placental delta sarcoglycan mRNA,U58331_at
Bcl2, p53 binding protein Bbp/53BP2 (BBP/53BP2) mRNA,U58334_at
Huntingtin interacting protein (HIP2) mRNA,U58522_at
Unknown protein mRNA within the p53 intron 1,U58658_at
GB DEF = Neurogenic basic-helix-loop-helix protein (NeuroD2) gene,U58681_at
RPS28 Ribosomal protein S28,U58682_at
FX protein mRNA,U58766_at
Putative outer mitochondrial membrane 34 kDa translocase hTOM34 mRNA,U58970_at
CRYBA4 Beta-A4 crystallin,U59057_at
Dermatan sulfate proteoglycan 3 (DSPG3) mRNA,U59111_at
EDA Ectodermal dysplasia protein,U59228_at
Beta-R1 mRNA, partial cds,U59286_at
H-cadherin mRNA,U59289_at
Steroid receptor coactivator (SRC-1) mRNA,U59302_at
FH Fumarate hydratase,U59309_at
DEAD-box protein p72 (P72) mRNA,U59321_at
Cadherin-14 mRNA,U59325_at
Mad-related protein MADR1 mRNA,U59423_at
Transcription factor (NFATc.b) mRNA,U59736_at
GB DEF = Desert hedgehog (hDHH) mRNA, partial cds,U59748_at
Sec7p-like protein mRNA, partial cds,U59752_at
TRAF-interacting protein I-TRAF mRNA,U59863_at
Low-Mr GTP-binding protein (RAB32) mRNA, partial cds,U59878_at
SMAD5 (Smad5) mRNA,U59913_at
Chromosome 15 Mad homolog Smad6 mRNA,U59914_at
Smg GDS-associated protein SMAP mRNA,U59919_at
FEZ1 mRNA,U60060_at
FEZ1-T mRNA, alternatively spliced form,U60062_at
Skeletal muscle LIM-protein SLIM1 mRNA,U60115_at
Skeletal muscle LIM-protein SLIM2 mRNA, partial cds,U60116_at
Methyl sterol oxidase (ERG25) mRNA,U60205_at
Putative polymerase; orf similar to the integrase domain of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes, partial cds, and 3LTR,U60269_cds1_at
Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes, partial cds, and 3LTR,U60269_cds2_at
Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes, partial cds, and 3LTR,U60269_cds3_at
HASNA-I mRNA,U60276_at
HLA-H MHC protein HLA-H (hereditary haemochromatosis),U60319_at
POLG DNA polymerase gamma,U60325_at
BHLH-PAS protein JAP3 mRNA,U60415_at
Apoptotic cysteine protease Mch4 (Mch4) mRNA,U60519_at
Cysteine protease ICE-LAP6 mRNA,U60521_at
HU-K4 mRNA,U60644_at
Testis specific basic protein (TSBP),U60665_at
Testis specific leucine rich repeat protein (TSLRP),U60666_at
Semaphorin (CD100) mRNA,U60800_at
Oncostatin-M specific receptor beta subunit (OSMRB) mRNA,U60805_at
Clone 137308 mRNA, partial cds,U60873_at
Hybrid receptor gp250 precursor mRNA,U60975_at
Enhancer of zeste homolog 2 (EZH2) mRNA,U61145_at
SH3 domain-containing protein SH3P17 mRNA,U61166_at
SH3 domain-containing protein SH3P18 mRNA,U61167_at
Tubulin-folding cofactor E mRNA,U61232_at
Tubulin-folding cofactor C mRNA,U61234_at
NEO1 Neogenin (chicken) homolog 1,U61262_at
Acetolactate synthase homolog mRNA,U61263_at
Sushi-repeat-containing protein precursor (SRPX) mRNA,U61374_at
Calcium-binding protein chp mRNA,U61538_at
GB DEF = Clone 18 (HL-18), dynein heavy chain (Dnahc14) mRNA, partial cds,U61741_at
Putative cyclin G1 interacting protein mRNA, partial sequence,U61836_at
NPTX1 Neuronal pentraxin I,U61849_at
Cyr61 mRNA,U62015_at
Putative enterocyte differentiation promoting factor mRNA, partial cds,U62136_at
Choline kinase isolog 384D8_3 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence,U62317_rna3_at
Hypothetical protein 384D8_6 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence,U62317_rna6_at
Hypothetical protein 384D8_7 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence,U62317_rna7_at
FE65-like protein (hFE65L) mRNA, partial cds,U62325_at
GB DEF = Putative cytosolic NADP-dependent isocitrate dehydrogenase mRNA, partial cds,U62389_at
CHRNA2 Cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal),U62431_at
CHRNA4 Cholinergic receptor, nicotinic, alpha polypeptide 4,U62433_at
Neuronal nicotinic acetylcholine receptor beta-2 subunit,U62437_at
SLC4A2 Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1),U62531_at
Branched-chain amino acid aminotransferase (ECA40) mRNA,U62739_at
CST6 Cystatin M,U62800_at
Protease M mRNA,U62801_at
Succinyl CoA:3-oxoacid CoA transferase precursor (OXCT) mRNA,U62961_at
Int-6 mRNA,U62962_at
Na+/nucleoside cotransporter (hCNT1c) mRNA,U62966_at
Gal beta-1,3 GalNAc alpha-2,3 sialyltransferase (ST3Gal II) mRNA,U63090_at
Rad50 (Rad50) mRNA,U63139_at
RNA-binding protein CUG-BP/hNab50 (NAB50) mRNA,U63289_at
Seven in absentia homolog mRNA,U63295_at
GB DEF = Cosmid LL12NC01-242E1, ETV6 gene, exons 1B and 3 and partial cds,U63312_at
GB DEF = MutY homolog (hMYH) gene,U63329_at
Super cysteine rich protein mRNA, partial cds,U63332_at
MHC Class I region proline rich protein mRNA,U63336_at
SUR Sulfonylurea receptor (hyperinsulinemia),U63455_at
GB DEF = mRNA expressed in HC/HCC livers and MolT-4 proliferating cells, partial sequence,U63541_at
Putative FAP protein mRNA, partial cds,U63542_at
Osteoclast stimulating factor mRNA,U63717_at
Mitotic centromere-associated kinesin mRNA,U63743_at
Transcription factor RTEF-1 (RTEF1) mRNA,U63824_at
Hepatitis delta antigen interacting protein A (dipA) mRNA,U63825_at
GB DEF = Neurogenic basic-helix-loop-helix protein (neuroD3) gene,U63842_at
Guanine nucleotide exchange factor p115-RhoGEF mRNA, partial cds,U64105_at
CC chemokine LARC precursor,U64197_at
Il-12 receptor beta2 mRNA,U64198_at
Ubiquitin fusion-degradation protein (UFD1L) mRNA,U64444_at
Synaptobrevin-3 mRNA,U64520_at
SRI Sorcin,U64675_at
HPD-1 (hPD-1) mRNA,U64863_at
G protein-coupled receptor GPR-NGA gene,U64871_at
GB DEF = Ribonuclease k6 precursor gene,U64998_at
Zinc finger protein PLAG1 mRNA,U65002_at
Preferentially expressed antigen of melanoma (PRAME) mRNA,U65011_at
Melanocyte-specific gene 1 (msg1) mRNA,U65092_at
Msg1-related gene 1 (mrg1) mRNA,U65093_at
GB DEF = Seven transmembrane G-coupled receptor (GPR31) gene,U65402_at
Erythroid-specific transcription factor EKLF mRNA,U65404_at
KCNJ1 gene (potassium channel ROM-K3) extracted from Human alternatively spliced potassium channels ROM-K1, ROM-K2, ROM-K3, ROM-K4, ROM-K5, and ROM-K6 (KCNJ1) gene,U65406_rna4_at
Mitotic feedback control protein Madp2 homolog mRNA,U65410_at
Homeodomain-containing protein (HANF) gene, partial cds,U65437_rna1_at
Mitochondrial NADH dehydrogenase-ubiquinone Fe-S protein 8, 23 kDa subunit precursor (NDUFS8) nuclear mRNA encoding mitochondrial protein,U65579_at
Ribosomal protein L3-like mRNA,U65581_at
HPS Hermansky-Pudlak syndrome protein,U65676_at
150 kDa oxygen-regulated protein ORP150 mRNA,U65785_at
JUN V-jun avian sarcoma virus 17 oncogene homolog,U65928_at
Extracellular matrix protein 1 (ECM1) mRNA,U65932_at
Glypican-5 (GPC5) mRNA,U66033_at
Sulfotransferase mRNA,U66036_at
Clone 161455 breast expressed mRNA from chromosome X,U66048_at
GB DEF = Clone W2-6 mRNA from chromosome X,U66052_at
TCRBV1S1A1N1 gene extracted from Human germline T-cell receptor beta chain Dopamine-beta-hydroxylase-like, TRY1, TRY2, TRY3, TCRBV27S1P, TCRBV22S1A2N1T, TCRBV9S1A1T, TCRBV7S1A1N2T, TCRBV5S1A1T, TCRBV13S3, TCRBV6S7P, TCRBV7S3A2T, TCRBV13S2A1T, TCRBV9S2A2PT, TCRBV7S2A1N4T, TCRBV13S9/13S2A1T, TCRBV6S5A1N1, TCRBV30S1P, TCRBV31S1, TCRBV13S5, TCRBV6S1A1N1, TCRBV32S1P, TCRBV5S5P, TCRBV1S1A1N1, TCRBV12S2A1T, TCRBV21S1, TCRBV8S4P, TCRBV12S3, TCRBV21S3A2N2T, TCRBV8S5P, TCRBV13S1 genes from bases 1 to 267156 (section 1 of 3),U66059_cds7_at
Transcription factor hGATA-6 mRNA,U66075_at
MAGE-9 antigen (MAGE9) gene,U66083_at
Sodium iodide symporter mRNA,U66088_at
GB DEF = Fibroblast growth factor homologous factor 2 (FHF-2) mRNA,U66198_at
T54 protein (T54) mRNA,U66359_at
EPLG8 Eph-related receptor tyrosine kinase ligand 8),U66406_at
Hematopoietic progenitor kinase (HPK1) mRNA,U66464_at
Cell growth regulator CGR11 mRNA,U66468_at
Cell growth regulator CGR19 mRNA,U66469_at
LEPR Leptin receptor,U66497_at
NPM1 Nucleophosmin (nucleolar phosphoprotein B23, numatrin),U66559_at
Kruppel-related zinc finger protein (ZNF184) mRNA, partial cds,U66561_at
Purinergic receptor P2Y9 mRNA,U66578_at
GB DEF = Putative G protein-coupled receptor (GPR21) gene,U66580_at
GB DEF = Putative G protein-coupled receptor (GPR22) gene,U66581_at
SWI/SNF complex 155 KDa subunit (BAF155) mRNA,U66615_at
SWI/SNF complex 170 KDa subunit (BAF170) mRNA,U66616_at
SWI/SNF complex 60 KDa subunit (BAF60a) mRNA, alternatively spliced,U66617_at
SWI/SNF complex 60 KDa subunit (BAF60b) mRNA,U66618_at
SWI/SNF complex 60 KDa subunit (BAF60c) mRNA,U66619_at
GABA-A receptor epsilon subunit mRNA,U66661_at
3-hydroxyisobutyryl-coenzyme A hydrolase mRNA,U66669_at
Phogrin mRNA,U66702_at
Cyclin A1 mRNA,U66838_at
Bcl-2 binding component 6 (bbc6) mRNA,U66879_at
Mitogen-activated kinase kinase kinase 5 (MAPKKK5) mRNA,U67156_at
GB DEF = Selenoprotein W (selW) mRNA,U67171_at
Multiple exostosis-like protein (EXTL) mRNA,U67191_at
Mch3 isoform alpha (Mch3) mRNA,U67319_at
Growth factor independence-1 (Gfi-1) mRNA,U67369_at
Mouse transaldolase gene mRNA,U67611_at
No cluster in current Unigene and no Genbank entry for U67614 (qualifier U67614_at),U67614_at
SLC15A2 Solute carrier family 15 (H+/peptide transporter), member 2,U67674_at
CGMP-stimulated 3,5-cyclic nucleotide phosphodiesterase PDE2A3 (PDE2A) mRNA,U67733_at
Orphan G protein-coupled receptor (RDC1) mRNA, partial cds,U67784_at
GB DEF = Beta-galactoside alpha2,6-sialyltransferase (SIAT1) mRNA, exon W,U67849_at
44.9 kDa protein C18B11 homolog gene, partial cds,U67934_at
Lysophospholipase homolog (HU-K5) mRNA,U67963_at
Guanylate kinase associated protein (GKAP) mRNA,U67988_at
Mad protein homolog (hMAD-2) mRNA,U68018_at
Mad protein homolog (hMAD-3) mRNA,U68019_at
G protein-coupled receptor (STRL22) mRNA,U68030_at
GB DEF = G protein-coupled receptor (STRL22) mRNA, alternatively spliced 5UTR sequence,U68031_at
Putative splice factor transformer2-beta mRNA,U68063_at
PROTEIN PHOSPHATASE INHIBITOR 2,U68111_at
GB DEF = Clone SCC-S4, mRNA sequence,U68133_at
RalGDS-like 2 (RGL2) mRNA, partial cds,U68142_at
Farnesol receptor HRR-1 (HRR-1) mRNA,U68233_at
Meis1-related protein 2 (MRG2), mRNA, partial cds,U68385_at
Amphiphysin II mRNA,U68485_at
HTR7 5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled),U68488_at
Hbc647 mRNA sequence,U68494_at
Zinc finger protein mRNA,U68536_at
HS1 binding protein HAX-1 mRNA, nuclear gene encoding mitochondrial protein,U68566_at
NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA,U68723_at
Homeobox-containing protein mRNA,U68727_at
TNF receptor associated factor 5 mRNA, partial cds,U69108_at
FUSE binding protein 3 (FBP3) mRNA, partial cds,U69127_at
GCDH Glutaryl-Coenzyme A dehydrogenase,U69141_at
Matrilin-2 precursor mRNA, partial cds,U69263_at
RNA binding protein Etr-3 mRNA,U69546_at
Zinc finger protein mRNA,U69645_at
RIEG Rieger syndrome (solurshin),U69961_at
Acid ceramidase mRNA,U70063_at
THPO Thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor),U70136_at
Herpesvirus entry mediator mRNA,U70321_at
Transportin (TRN) mRNA,U70322_at
SCA2 Spinocerebellar ataxia 2 (olivopontocerebellar ataxia 2, autosomal dominant),U70323_at
Hindlimb expressed homeobox protein backfoot (Bft) mRNA,U70370_at
A28-RGS14p mRNA,U70426_at
Myleoid differentiation primary response protein MyD88 mRNA,U70451_at
Copper transport protein HAH1 (HAH1) mRNA,U70660_at
Zinc finger transcription factor hEZF (EZF) mRNA,U70663_at
Ataxin-2 related protein mRNA, partial cds,U70671_at
Glutamate pyruvate transaminase (GPT) gene,U70732_rna1_at
GB DEF = 34 kDa mov34 isologue mRNA,U70735_at
Nuclear factor I B3 mRNA,U70862_at
Prostaglandin transporter hPGT mRNA,U70867_at
IL13 receptor,U70981_at
GAP binding protein p62dok (DOK) mRNA,U70987_at
Protein tyrosine kinase t-Ror1 (Ror1) mRNA,U71087_at
MAP kinase kinase MEK5c mRNA,U71088_at
GB DEF = Somatostatin receptor-like protein (GPR24) gene,U71092_at
Eyes absent homolog (Eab1) mRNA,U71207_at
SNAPC3 Small nuclear RNA activating complex, polypeptide 3, 50kD,U71300_at
Cytoplasmic antiproteinase 3 (CAP3) mRNA,U71364_at
GB DEF = HsPex13p mRNA,U71374_at
Zinc finger protein zfp2 (zf2) mRNA, partial cds,U71598_at
Zinc finger protein zfp47 (zf47) mRNA, partial cds,U71601_at
CtBP interacting protein CtIP (CtIP) mRNA,U72066_at
Guanine nucleotide regulatory factor (LFP40) mRNA,U72206_at
YY1-associated factor 2 (YAF2) mRNA,U72209_at
PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 45 KD SUBUNIT,U72342_at
40871 mRNA partial sequence,U72507_at
B7 mRNA,U72508_at
B-cell receptor associated protein (hBAP) mRNA, partial cds,U72511_at
GB DEF = B-cell receptor associated protein (hBAP) alternatively spliced mRNA, partial 3UTR,U72512_at
C2f mRNA,U72514_at
C3f mRNA,U72515_at
GB DEF = Alternatively spliced variant C7f (C3f) mRNA, partial 3UTR,U72517_at
LOT1 mRNA,U72621_at
Ninjurin1 mRNA,U72661_at
Telencephalin precursor mRNA,U72671_at
GB DEF = Karyopherin beta 3 mRNA,U72761_at
H_LUCA14.2b gene extracted from Human cosmid LUCA14,U73167_cds3_at
H_LUCA14.3 gene extracted from Human cosmid LUCA14,U73167_cds4_at
SM15 gene (human interferon-related protein SM15 (U09585); final exon similar to partial sequence of human EST R48415, but would require alternative splice) extracted from Human cosmid LUCA14,U73167_cds5_at
H_LUCA14.6 gene extracted from Human cosmid LUCA14,U73167_cds7_at
Inward rectifier potassium channel (Kir1.3),U73191_at
CB1 cannabinoid receptor (CNR1) gene,U73304_rna1_at
DLX7 Distal-less homeobox 7,U73328_at
GB DEF = PAC 85D2, complete sequence,U73330_at
Methionine synthase mRNA,U73338_at
SKI V-ski avian sarcoma viral oncogene homolog,U73377_at
Cyclin-selective ubiquitin carrier protein mRNA,U73379_at
GB DEF = Hepatic nuclear factor 1-alpha (TCF-1-alpha) gene, promoter region and partial cds,U73499_at
Short-chain alcohol dehydrogenase (XH98G2) mRNA,U73514_at
Putative ATP/GTP-binding protein (HEAB) mRNA,U73524_at
Meningioma-expressed antigen 6 (MEA6) mRNA,U73682_at
48 kDa FKBP-associated protein FAP48 mRNA,U73704_at
GTBP DNA G/T mismatch-binding protein,U73737_at
GB DEF = Dynactin mRNA, partial cds,U73799_at
P97 mRNA,U73824_at
Epithelial-specific transcription factor ESE-1b (ESE-1) mRNA,U73843_at
ADP-ribosylation factor-like protein 4 mRNA,U73960_at
Putative M phase phosphoprotein 2 (MPP2) mRNA,U74612_at
Tat interactive protein mRNA,U74667_at
TBP-associated factor (hTAFII130) mRNA, partial cds,U75308_at
Isopeptidase T-3 (ISOT-3) mRNA,U75362_at
Mitochondrial RNA polymerase mRNA, nuclear gene encoding mitochondrial protein,U75370_at
Histone stem-loop binding protein (SLBP) mRNA,U75679_at
CHL1 protein,U75968_at
Putative zinc transporter ZnT-3 (ZnT-3) mRNA,U76010_at
GB DEF = EXTL2 (EXTL2) mRNA, partial cds,U76189_at
FHIT Fragile histidine triad gene product,U76272_at
GB DEF = Cationic amino acid transporter-2B (ATRC2) mRNA, partial cds,U76369_at
DsRNA adenosine deaminase DRADA2b (DRADA2b) mRNA,U76421_at
Tissue inhibitor of metalloproteinase 4 mRNA,U76456_at
BRCA1-associated RING domain protein (BARD1) mRNA,U76638_at
Tat-SF1 mRNA,U76992_at
SPS1/STE20 homolog KHS1 mRNA,U77129_at
EBI1-ligand chemokine,U77180_at
No cluster in current Unigene and no Genbank entry for U77396 (qualifier U77396_at),U77396_at
O-linked GlcNAc transferase mRNA,U77413_at
Nucleosome assembly protein 2 mRNA,U77456_at
Tazarotene-induced gene 2 (TIG2) mRNA,U77594_at
Microsomal glutathione S-transferase (GST-II) mRNA,U77604_at
K12 protein precursor mRNA,U77643_at
RNaseP protein p38 (RPP38) mRNA,U77664_at
RNaseP protein p30 (RPP30) mRNA,U77665_at
Desmosome associated protein pinin mRNA,U77718_at
Pim-2 protooncogene homolog pim-2h mRNA,U77735_at
GB DEF = Orphan G protein-coupled receptor (CEPR) gene,U77827_at
HTRIP (hTRIP) mRNA,U77845_at
KAI1 Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4)),U77948_at
Cdc6-related protein (HsCDC6) mRNA,U77949_at
MOP5 mRNA, partial cds,U77968_at
RPL27 Ribosomal protein L27,U77970_at
Hepatocyte nuclear factor 6 (HNF-6) mRNA, partial cds,U77975_at
L44L gene (L44-like ribosomal protein) extracted from Human Brutons tyrosine kinase (BTK), alpha-D-galactosidase A (GLA), L44-like ribosomal protein (L44L) and FTP3 (FTP3) genes,U78027_rna3_at
L44L gene (L44-like ribosomal protein) extracted from Human Brutons tyrosine kinase (BTK), alpha-D-galactosidase A (GLA), L44-like ribosomal protein (L44L) and FTP3 (FTP3) genes,U78027_rna4_at
Placental bikunin mRNA,U78095_at
Gamma SNAP mRNA,U78107_at
Sodium channel 2 (hBNaC2) mRNA, alternatively spliced,U78180_at
GTP cyclohydrolase I feedback regulatory protein gene,U78190_rna1_at
Myogenic repressor I-mf (MDFI) mRNA,U78313_at
Immunophilin homolog ARA9 mRNA,U78521_at
Gu binding protein mRNA, partial cds,U78524_at
Eukaryotic translation initiation factor (eIF3) mRNA,U78525_at
Gallbladder mucin MUC5B mRNA, partial cds,U78551_at
Cisplatin resistance associated alpha protein (hCRA alpha) mRNA,U78556_at
68 kDa type I phosphatidylinositol-4-phosphate 5-kinase alpha mRNA, clone PIP5KIa1,U78575_at
GB DEF = Leukemia inhibitory factor receptor mRNA, 5 untranslated region,U78628_at
Thioredoxin mRNA, nuclear gene encoding mitochondrial protein,U78678_at
Zinc finger gene,U78722_at
ABC3 ATP-binding cassette 3,U78735_at
GB DEF = Folate receptor alpha (hFR) mRNA, partial cds,U78793_at
TNF receptor associated factor 6 (TRAF6) mRNA,U78798_at
MEK kinase 3 mRNA,U78876_at
Clone 23759 mRNA, partial cds,U79241_at
Clone 23560 mRNA sequence,U79242_at
Clone 23586 mRNA sequence,U79245_at
Clone 23799 mRNA sequence,U79246_at
Clone 23599 mRNA sequence,U79247_at
Clone 23826 mRNA sequence,U79248_at
Clone 23839 mRNA sequence,U79249_at
OPCML Opioid-binding cell adhesion molecule,U79251_at
Clone 23679 mRNA,U79252_at
Clone 23893 mRNA,U79253_at
Clone 23693 mRNA sequence,U79254_at
X11 protein mRNA, partial cds,U79255_at
Clone 23719 mRNA sequence,U79256_at
Clone 23932 mRNA sequence,U79257_at
Clone 23732 mRNA, partial cds,U79258_at
Clone 23945 mRNA,U79259_at
Clone 23745 mRNA,U79260_at
DHPS Deoxyhypusine synthase,U79262_at
Clone 23760 mRNA, partial cds,U79263_at
Clone 23614 mRNA sequence,U79265_at
Clone 23627 mRNA,U79266_at
Clone 23840 mRNA, partial cds,U79267_at
Clone 23707 mRNA, partial cds,U79270_at
Clones 23920 and 23921 mRNA sequence,U79271_at
Clone 23720 mRNA sequence,U79272_at
Clone 23933 mRNA sequence,U79273_at
Clone 23733 mRNA,U79274_at
Clone 23947 mRNA, partial cds,U79275_at
Clone 23548 mRNA sequence,U79277_at
Clone 23575 mRNA, partial cds,U79280_at
Clone 23801 mRNA sequence,U79282_at
GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,U79285_at
Arginine methyltransferase mRNA,U79286_at
Clone 23867 mRNA sequence,U79287_at
Clone 23682 mRNA sequence,U79288_at
Clone 23695 mRNA sequence,U79289_at
Clone 23908 mRNA sequence,U79290_at
Clone 23721 mRNA sequence,U79291_at
Clone 23948 mRNA sequence,U79293_at
Clone 23748 mRNA,U79294_at
Clone 23961 mRNA sequence,U79295_at
DLAT Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),U79296_at
Clone 23589 mRNA sequence,U79297_at
Clone 23803 mRNA, partial cds,U79298_at
Neuronal olfactomedin-related ER localized protein mRNA, partial cds,U79299_at
Clone 23629 mRNA sequence,U79300_at
Clone 23842 mRNA sequence,U79301_at
Clone 23855 mRNA, partial cds,U79302_at
Clone 23882 mRNA,U79303_at
Clone 23909 mRNA, partial cds,U79304_at
Orphan G-protein coupled receptor Dez isoform a mRNA,U79526_at
Reelin (RELN) mRNA,U79716_at
Endonuclease III homolog mRNA,U79718_at
A33 antigen precursor mRNA,U79725_at
Huntingtin interacting protein (HIP1) mRNA,U79734_at
Basic-leucine zipper nuclear factor (JEM-1) mRNA,U79751_at
Btf2p44 gene (basic transcription factor 2 p44) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes,U80017_rna1_at
Naip gene (neuronal apoptosis inhibitory protein) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes,U80017_rna2_at
