AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
Cluster Incl. J05500:Human beta-spectrin (SPTB) mRNA, complete cds /cds=(95,6508) /gb=J05500 /gi=338439 /ug=Hs.47431 /len=6765,36036_at
Cluster Incl. J05500:Human beta-spectrin (SPTB) mRNA, complete cds /cds=(95,6508) /gb=J05500 /gi=338439 /ug=Hs.47431 /len=6765,36037_g_at
Cluster Incl. J05500:Human beta-spectrin (SPTB) mRNA, complete cds /cds=(0,6320) /gb=J05500 /gi=338439 /ug=Hs.47431 /len=6364,36038_r_at
Cluster Incl. X93498:H.sapiens mRNA for 21-Glutamic Acid-Rich Protein (21-GARP) /cds=UNKNOWN /gb=X93498 /gi=1673496 /ug=Hs.47438 /len=1160,36039_s_at
Cluster Incl. AI337192:qx88h10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2009635 /clone_end=3  /gb=AI337192 /gi=4074119 /ug=Hs.47438 /len=925,36040_at
Cluster Incl. AF091754:untitled /cds=(471,2882) /gb=AF091754 /gi=3822432 /ug=Hs.47504 /len=3531,36041_at
Cluster Incl. X75958:H.sapiens trkB mRNA for protein-tyrosine kinase /cds=(97,1530) /gb=X75958 /gi=473007 /ug=Hs.47860 /len=2224,36042_at
Cluster Incl. AF070577:Homo sapiens clone 24461 mRNA sequence /cds=UNKNOWN /gb=AF070577 /gi=3387949 /ug=Hs.4817 /len=1521,36043_at
Cluster Incl. AF022912:Homo sapiens cGMP phosphodiesterase delta subunit mRNA, complete cds /cds=(150,602) /gb=AF022912 /gi=2655093 /ug=Hs.48291 /len=1119,36044_at
Cluster Incl. AJ223948:Homo sapiens mRNA for putative RNA helicase, 3  end /cds=(0,3773) /gb=AJ223948 /gi=2842423 /ug=Hs.48295 /len=4457,36045_at
Cluster Incl. AL050144:Homo sapiens mRNA; cDNA DKFZp586C1620 (from clone DKFZp586C1620) /cds=(0,313) /gb=AL050144 /gi=4884151 /ug=Hs.48297 /len=1401,36046_at
Cluster Incl. AL050385:Homo sapiens mRNA; cDNA DKFZp564L2416 (from clone DKFZp564L2416) /cds=UNKNOWN /gb=AL050385 /gi=4914588 /ug=Hs.48332 /len=5493,36047_at
Cluster Incl. AB015342:Homo sapiens HRIHFB2436 mRNA, partial cds /cds=(0,674) /gb=AB015342 /gi=3970869 /ug=Hs.48433 /len=1065,36048_at
Cluster Incl. W27899:39c4 Homo sapiens cDNA /gb=W27899 /gi=1307847 /ug=Hs.4844 /len=839,36049_at
Cluster Incl. AL031685:dJ963K23.3 (spermatogenesis associated protein PD1 (KIAA0757)) /cds=(231,1793) /gb=AL031685 /gi=4914542 /ug=Hs.48513 /len=4022,36050_at
Cluster Incl. X58199:Human mRNA for beta adducin /cds=(322,2502) /gb=X58199 /gi=29368 /ug=Hs.4852 /len=2597,36051_s_at
Cluster Incl. U43959:Human beta 4 adducin mRNA, alternatively spliced partial cds /cds=(0,938) /gb=U43959 /gi=1172145 /ug=Hs.4852 /len=1284,36052_at
Cluster Incl. AF041248:Homo sapiens cyclin-dependent kinase inhibitor (CDKN2C) mRNA, complete cds /cds=(1215,1721) /gb=AF041248 /gi=3243117 /ug=Hs.4854 /len=2085,36053_at
Cluster Incl. AB020699:Homo sapiens mRNA for KIAA0892 protein, partial cds /cds=(0,1866) /gb=AB020699 /gi=4240272 /ug=Hs.4864 /len=4164,36054_at
Cluster Incl. AC003030:Homo sapiens chromosome 19, overlapping cosmids R29828 and F25496 /cds=(0,1544) /gb=AC003030 /gi=4092821 /ug=Hs.4864 /len=1545,36055_at
Cluster Incl. AC003030:Homo sapiens chromosome 19, overlapping cosmids R29828 and F25496 /cds=(0,1544) /gb=AC003030 /gi=4092821 /ug=Hs.4864 /len=1545,36056_g_at
Cluster Incl. AB011084:Homo sapiens mRNA for KIAA0512 protein, complete cds /cds=(498,2396) /gb=AB011084 /gi=3043547 /ug=Hs.48924 /len=2620,36057_at
Cluster Incl. AL096741:Homo sapiens mRNA; cDNA DKFZp586O0223 (from clone DKFZp586O0223) /cds=UNKNOWN /gb=AL096741 /gi=5419897 /ug=Hs.49005 /len=1593,36058_at
Cluster Incl. AB011540:Homo sapiens mRNA for MEGF7, partial cds /cds=(0,4730) /gb=AB011540 /gi=3449305 /ug=Hs.4930 /len=6846,36059_at
Cluster Incl. U51920:Human signal recognition particle (SRP54) mRNA, complete cds /cds=(71,1585) /gb=U51920 /gi=1256819 /ug=Hs.49346 /len=2000,36060_at
Cluster Incl. AF009314:Homo sapiens clone TUA8 Cri-du-chat region mRNA /cds=UNKNOWN /gb=AF009314 /gi=2331117 /ug=Hs.49476 /len=1463,36061_at
Cluster Incl. AF062075:Homo sapiens leupaxin mRNA, complete cds /cds=(93,1253) /gb=AF062075 /gi=3126970 /ug=Hs.49587 /len=1836,36062_at
Cluster Incl. AB007964:Homo sapiens mRNA, chromosome 1 specific transcript KIAA0495 /cds=UNKNOWN /gb=AB007964 /gi=3413939 /ug=Hs.49658 /len=6357,36063_at
Cluster Incl. AF033348:Homo sapiens potassium channel (KCNQ2) mRNA, complete cds /cds=(127,2745) /gb=AF033348 /gi=2801451 /ug=Hs.4975 /len=3232,36064_at
Cluster Incl. AF052389:Homo sapiens LIM domain binding protein (LDB1) mRNA, complete cds /cds=(254,1297) /gb=AF052389 /gi=3044065 /ug=Hs.4980 /len=2398,36065_at
Cluster Incl. AB020635:Homo sapiens mRNA for KIAA0828 protein, partial cds /cds=(0,1859) /gb=AB020635 /gi=4240144 /ug=Hs.4984 /len=5025,36066_at
Cluster Incl. AB000887:Homo sapiens mRNA for EBI1-ligand chemokine, complete cds /cds=(138,434) /gb=AB000887 /gi=2189952 /ug=Hs.50002 /len=687,36067_at
Cluster Incl. AF002210:Homo sapiens copper chaperone for superoxide dismutase (CCS) mRNA, complete cds /cds=(43,867) /gb=AF002210 /gi=2431867 /ug=Hs.5002 /len=1031,36068_at
Cluster Incl. AB007925:Homo sapiens mRNA for KIAA0456 protein, partial cds /cds=(0,3287) /gb=AB007925 /gi=3413873 /ug=Hs.5003 /len=6305,36069_at
Cluster Incl. AL049389:Homo sapiens mRNA; cDNA DKFZp586O0118 (from clone DKFZp586O0118) /cds=UNKNOWN /gb=AL049389 /gi=4500182 /ug=Hs.50081 /len=2309,36070_at
Cluster Incl. AF070633:Homo sapiens clone 24672 mRNA sequence /cds=UNKNOWN /gb=AF070633 /gi=3283902 /ug=Hs.5010 /len=1459,36071_at
Cluster Incl. AF025770:Homo sapiens C2H2 zinc finger protein (ZNF189) mRNA, complete cds /cds=(349,2103) /gb=AF025770 /gi=3282512 /ug=Hs.50123 /len=3120,36072_at
Cluster Incl. U35139:Human NECDIN related protein mRNA, complete cds /cds=(58,1023) /gb=U35139 /gi=1754970 /ug=Hs.50130 /len=1592,36073_at
Cluster Incl. U12897:Homo sapiens IPW mRNA sequence /cds=UNKNOWN /gb=U12897 /gi=562075 /ug=Hs.5022 /len=2075,36074_at
Cluster Incl. AL037167:DKFZp564P1564_s1 Homo sapiens cDNA, 3  end /clone=DKFZp564P1564 /clone_end=3  /gb=AL037167 /gi=5928078 /ug=Hs.50267 /len=674,36075_at
Cluster Incl. AL037167:DKFZp564P1564_s1 Homo sapiens cDNA, 3  end /clone=DKFZp564P1564 /clone_end=3  /gb=AL037167 /gi=5928078 /ug=Hs.50267 /len=674,36076_g_at
Cluster Incl. AL022729:Human gene similar to Z.mays ras-like (X63277) and H.sapiens RAY1 (X79781) /cds=(370,927) /gb=AL022729 /gi=3093310 /ug=Hs.50267 /len=1028,36077_at
Cluster Incl. AL080120:Homo sapiens mRNA; cDNA DKFZp564O0423 (from clone DKFZp564O0423) /cds=(0,555) /gb=AL080120 /gi=5262552 /ug=Hs.5028 /len=5251,36078_at
Cluster Incl. AF010309:Homo sapiens Pig3 (PIG3) mRNA, complete cds /cds=(527,1495) /gb=AF010309 /gi=2754811 /ug=Hs.50649 /len=1670,36079_at
Cluster Incl. AB002332:Human mRNA for KIAA0334 gene, complete cds /cds=(251,2791) /gb=AB002332 /gi=2224608 /ug=Hs.50722 /len=5715,36080_at
Cluster Incl. AB004848:Homo sapiens mRNA expressed in placenta, clone IMAGE-70506 /cds=UNKNOWN /gb=AB004848 /gi=3702682 /ug=Hs.50748 /len=1212,36081_s_at
Cluster Incl. S71326:BGPc=biliary glycoprotein adhesion molecule {alternatively spliced} [human, HT29 colon carcinoma cell line, mRNA Partial, 1473 nt] /cds=(0,1394) /gb=S71326 /gi=550030 /ug=Hs.50964 /len=1473,36082_at
Cluster Incl. U01160:Human transmembrane 4 superfamily protein (SAS) mRNA, complete cds /cds=(102,734) /gb=U01160 /gi=457936 /ug=Hs.50984 /len=1666,36083_at
Cluster Incl. D38548:Human mRNA for KIAA0076 gene, complete cds /cds=(86,5182) /gb=D38548 /gi=559706 /ug=Hs.51039 /len=5253,36084_at
Cluster Incl. X63749:H.sapiens DNA for Rod transducin alpha-subunit /cds=(116,1168) /gb=X63749 /gi=37049 /ug=Hs.51147 /len=2419,36085_at
Cluster Incl. U11791:Human cyclin H mRNA, complete cds /cds=(60,1031) /gb=U11791 /gi=536919 /ug=Hs.514 /len=1203,36086_at
Cluster Incl. AB007869:Homo sapiens KIAA0409 mRNA, partial cds /cds=(0,1394) /gb=AB007869 /gi=2662098 /ug=Hs.5158 /len=6469,36087_at
Cluster Incl. AJ006291:Homo sapiens mRNA for leucine rich protein /cds=(63,929) /gb=AJ006291 /gi=3805937 /ug=Hs.5198 /len=1060,36088_at
Cluster Incl. AB023183:Homo sapiens mRNA for KIAA0966 protein, complete cds /cds=(166,3564) /gb=AB023183 /gi=4589575 /ug=Hs.52463 /len=4924,36089_at
Cluster Incl. AL080162:Homo sapiens mRNA; cDNA DKFZp434N024 (from clone DKFZp434N024) /cds=(94,1437) /gb=AL080162 /gi=5262624 /ug=Hs.52515 /len=2273,36090_at
Cluster Incl. AF051323:Homo sapiens Src-associated adaptor protein (SAPS) mRNA, complete cds /cds=(172,1251) /gb=AF051323 /gi=4091777 /ug=Hs.52644 /len=2237,36091_at
Cluster Incl. AL080213:Homo sapiens mRNA; cDNA DKFZp586I1823 (from clone DKFZp586I1823) /cds=UNKNOWN /gb=AL080213 /gi=5262703 /ug=Hs.52792 /len=2640,36092_at
Cluster Incl. AI743299:wg91b04.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2372431 /clone_end=3  /gb=AI743299 /gi=5111587 /ug=Hs.5288 /len=734,36451_at
Cluster Incl. AB028952:Homo sapiens mRNA for KIAA1029 protein, complete cds /cds=(496,3207) /gb=AB028952 /gi=5689394 /ug=Hs.5307 /len=5332,36452_at
Cluster Incl. AB018254:Homo sapiens mRNA for KIAA0711 protein, complete cds /cds=(963,2834) /gb=AB018254 /gi=3882142 /ug=Hs.5333 /len=6706,36453_at
Cluster Incl. AF037335:Homo sapiens carbonic anhydrase precursor (CA 12) mRNA, complete cds /cds=(115,1179) /gb=AF037335 /gi=2708638 /ug=Hs.5338 /len=2755,36454_at
Cluster Incl. L41162:Homo sapiens collagen alpha 3 type IX (COL9A3) mRNA, complete cds /cds=(0,2054) /gb=L41162 /gi=1196420 /ug=Hs.53563 /len=2480,36455_at
Cluster Incl. AL080063:Homo sapiens mRNA; cDNA DKFZp564I052 (from clone DKFZp564I052) /cds=(0,751) /gb=AL080063 /gi=5262468 /ug=Hs.5364 /len=1895,36456_at
Cluster Incl. U10860:Human guanosine 5-monophosphate synthase mRNA, complete cds /cds=(122,2203) /gb=U10860 /gi=595409 /ug=Hs.5398 /len=2212,36457_at
Cluster Incl. AB023235:Homo sapiens mRNA for KIAA1018 protein, complete cds /cds=(241,3294) /gb=AB023235 /gi=4589685 /ug=Hs.5400 /len=4839,36458_at
Cluster Incl. AB020686:Homo sapiens mRNA for KIAA0879 protein, complete cds /cds=(48,1409) /gb=AB020686 /gi=4240246 /ug=Hs.54037 /len=4312,36459_at
Cluster Incl. AF008442:Homo sapiens RNA polymerase I subunit hRPA39 mRNA, complete cds /cds=(12,1052) /gb=AF008442 /gi=2266928 /ug=Hs.5409 /len=1259,36460_at
Cluster Incl. U41804:Human putative T1/ST2 receptor binding protein precursor mRNA, complete cds /cds=(87,770) /gb=U41804 /gi=1223889 /ug=Hs.54411 /len=1303,36461_at
Cluster Incl. U50383:Human retinoic acid-responsive protein (NN8-4AG) mRNA, complete cds /cds=(0,1238) /gb=U50383 /gi=1245371 /ug=Hs.54413 /len=2520,36462_at
Cluster Incl. AB020680:Homo sapiens mRNA for KIAA0873 protein, partial cds /cds=(0,1400) /gb=AB020680 /gi=4240234 /ug=Hs.5443 /len=4119,36463_at
Cluster Incl. X94323:H.sapiens mRNA for SGP28 protein /cds=(40,777) /gb=X94323 /gi=1213612 /ug=Hs.54431 /len=2124,36464_at
Cluster Incl. U51127:Human interferon regulatory factor 5 (Humirf5) mRNA, complete cds /cds=(103,1617) /gb=U51127 /gi=1255254 /ug=Hs.54434 /len=2187,36465_at
Cluster Incl. U26742:Human dystrobrevin-delta mRNA, complete cds /cds=(324,1448) /gb=U26742 /gi=1255988 /ug=Hs.54435 /len=1707,36466_at
Cluster Incl. U26742:Human dystrobrevin-delta mRNA, complete cds /cds=(324,1448) /gb=U26742 /gi=1255988 /ug=Hs.54435 /len=1707,36467_g_at
Cluster Incl. U84551:Human dystrobrevin (DTN) gene /cds=(1,1713) /gb=U84551 /gi=2149317 /ug=Hs.54435 /len=2888,36468_at
Cluster Incl. U46744:Human dystrobrevin-alpha mRNA, complete cds /cds=(64,2124) /gb=U46744 /gi=1256010 /ug=Hs.54435 /len=2518,36469_at
Cluster Incl. U84551:Human dystrobrevin (DTN) gene /cds=(1,2232) /gb=U84551 /gi=2149317 /ug=Hs.54435 /len=2264,36470_s_at
Cluster Incl. U46746:Human dystrobrevin-epsilon mRNA, complete cds /cds=(338,1513) /gb=U46746 /gi=1256014 /ug=Hs.54435 /len=1781,36471_f_at
Cluster Incl. U32849:Homo sapiens Nmi mRNA, complete cds /cds=(280,1203) /gb=U32849 /gi=1322219 /ug=Hs.54483 /len=1426,36472_at
Cluster Incl. AB023220:Homo sapiens mRNA for KIAA1003 protein, complete cds /cds=(132,2873) /gb=AB023220 /gi=4589649 /ug=Hs.5452 /len=4252,36473_at
Cluster Incl. AB018319:Homo sapiens mRNA for KIAA0776 protein, partial cds /cds=(0,2401) /gb=AB018319 /gi=3882272 /ug=Hs.5460 /len=4174,36474_at
Cluster Incl. Z97630:Human DNA sequence from clone 466N1 on chromosome 22q12-13 Contains H1F0(H1 histone family, member 0) gene, 2-amino-3-ketobutyrate -CoA ligase( nuclear gene encoding mitochondrial protein), GALR3 (galanin receptor) gene, ESTs, GSSs and CpG islands /cds=(3,1262) /gb=Z97630 /gi=4582128 /ug=Hs.54609 /len=1442,36475_at
Cluster Incl. AF016270:Homo sapiens thyroid hormone receptor coactivating protein mRNA, complete cds /cds=(80,2842) /gb=AF016270 /gi=2655005 /ug=Hs.5464 /len=3154,36476_at
Cluster Incl. X90780:Homo sapiens TNNI3 gene /cds=(143,775) /gb=X90780 /gi=4071059 /ug=Hs.54668 /len=843,36477_at
Cluster Incl. X83973:H.sapiens mRNA for TTF-I /cds=(44,2704) /gb=X83973 /gi=639692 /ug=Hs.54780 /len=2847,36478_at
Cluster Incl. AF050078:untitled /cds=(122,1558) /gb=AF050078 /gi=3818466 /ug=Hs.54877 /len=3186,36479_at
Cluster Incl. X80497:H.sapiens PHKLA mRNA /cds=(126,3833) /gb=X80497 /gi=663009 /ug=Hs.54941 /len=4566,36480_at
Cluster Incl. AF022108:Homo sapiens putative replication initiator origin recognition complex subunit Orc4Lp (ORC4L) mRNA, complete cds /cds=(126,1436) /gb=AF022108 /gi=2736148 /ug=Hs.55055 /len=2239,36481_at
Cluster Incl. Y15724:Homo sapiens SERCA3 gene, exons 1-7 (and joined CDS) /cds=(152,3241) /gb=Y15724 /gi=3021395 /ug=Hs.5541 /len=4800,36482_s_at
Cluster Incl. X92689:H.sapiens mRNA for UDP-GalNAc-polypeptide N-acetylgalactosaminyl  transferase /cds=(0,1901) /gb=X92689 /gi=1296629 /ug=Hs.55823 /len=1902,36483_at
Cluster Incl. AI935146:wp14b12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2464799 /clone_end=3  /gb=AI935146 /gi=5674016 /ug=Hs.55823 /len=541,36484_at
Cluster Incl. U85647:Homo sapiens small optic lobes homolog (SOLH) mRNA, complete cds /cds=(363,3623) /gb=U85647 /gi=3462350 /ug=Hs.55836 /len=4163,36485_at
Cluster Incl. AB018348:Homo sapiens mRNA for KIAA0805 protein, partial cds /cds=(0,3985) /gb=AB018348 /gi=3882330 /ug=Hs.55947 /len=4204,36486_at
Cluster Incl. AF022654:Homo sapiens homeodomain protein (OG12) mRNA, complete cds /cds=(197,769) /gb=AF022654 /gi=2979679 /ug=Hs.55967 /len=2749,36487_at
Cluster Incl. AB011542:Homo sapiens mRNA for MEGF9, partial cds /cds=(0,1129) /gb=AB011542 /gi=3449309 /ug=Hs.5599 /len=5507,36488_at
Cluster Incl. D00860:Homo sapiens mRNA for phosphoribosyl pyrophosphate synthetase subunit I, complete cds /cds=(122,1078) /gb=D00860 /gi=220019 /ug=Hs.56 /len=2075,36489_at
Cluster Incl. X15331:Human mRNA for phosphoribosylpyrophosphate synthetase subunit one /cds=(66,1022) /gb=X15331 /gi=35701 /ug=Hs.56 /len=1196,36490_s_at
Cluster Incl. D82345:Homo sapiens mRNA for NB thymosin beta, complete cds /cds=(97,234) /gb=D82345 /gi=1841339 /ug=Hs.56145 /len=639,36491_at
Cluster Incl. AI347155:tc04c11.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2062868 /clone_end=3  /gb=AI347155 /gi=4084361 /ug=Hs.5648 /len=750,36492_at
Cluster Incl. M33552:Human lymphocyte-specific protein 1 (LSP1) mRNA, complete cds /cds=(108,1127) /gb=M33552 /gi=187237 /ug=Hs.56729 /len=1631,36493_at
Cluster Incl. AF058918:Homo sapiens unknown mRNA /cds=(212,634) /gb=AF058918 /gi=3068726 /ug=Hs.5699 /len=732,36494_at
Cluster Incl. U21931:Human fructose-1,6-biphosphatase (FBP1) gene /cds=(211,1227) /gb=U21931 /gi=1000077 /ug=Hs.574 /len=1476,36495_at
Cluster Incl. AF014398:Homo sapiens myo-inositol monophosphatase 2 mRNA, complete cds /cds=(141,1007) /gb=AF014398 /gi=2406665 /ug=Hs.5753 /len=1428,36496_at
Cluster Incl. W28438:47g10 Homo sapiens cDNA /gb=W28438 /gi=1308449 /ug=Hs.57548 /len=845,36497_at
Cluster Incl. AI936759:wp69b12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2467007 /clone_end=3  /gb=AI936759 /gi=5675629 /ug=Hs.57600 /len=742,36498_at
Cluster Incl. D87469:Human mRNA for KIAA0279 gene, partial cds /cds=(0,7226) /gb=D87469 /gi=1665820 /ug=Hs.57652 /len=8924,36499_at
Cluster Incl. AF027974:Homo sapiens clone LM1955 H105e3 gene, partial cds /cds=(201,1166) /gb=AF027974 /gi=2570930 /ug=Hs.57698 /len=1414,36500_at
Cluster Incl. S87759:protein phosphatase 2C alpha [human, teratocarcinoma, mRNA, 2346 nt] /cds=(357,1505) /gb=S87759 /gi=247168 /ug=Hs.57764 /len=2346,36501_at
Cluster Incl. AB020641:Homo sapiens mRNA for KIAA0834 protein, complete cds /cds=(144,1499) /gb=AB020641 /gi=4240156 /ug=Hs.57856 /len=4957,36502_at
Cluster Incl. AB002409:Homo sapiens mRNA for SLC, complete cds /cds=(58,462) /gb=AB002409 /gi=2335034 /ug=Hs.57907 /len=852,36503_at
Cluster Incl. AF097441:Homo sapiens phenylalanine-tRNA synthetase (FARS1) mRNA, nuclear gene encoding mitochondrial protein, complete cds /cds=(12,1367) /gb=AF097441 /gi=3983102 /ug=Hs.57969 /len=1515,36504_at
Cluster Incl. D55655:Homo sapiens mRNA for cardiac calsequestrin, complete cds /cds=(109,1308) /gb=D55655 /gi=2627061 /ug=Hs.57975 /len=2528,36505_at
Cluster Incl. AJ131693:Homo sapiens mRNA for AKAP450 protein /cds=(222,11948) /gb=AJ131693 /gi=4584422 /ug=Hs.58103 /len=12465,36506_at
Cluster Incl. D30612:Homo sapiens mRNA for repressor protein, partial cds /cds=(0,2156) /gb=D30612 /gi=2723456 /ug=Hs.58167 /len=3737,36507_at
Cluster Incl. AF030186:Homo sapiens glypican-4 (GPC4) mRNA, complete cds /cds=(212,1882) /gb=AF030186 /gi=3831546 /ug=Hs.58367 /len=3724,36508_at
Cluster Incl. AL049998:Homo sapiens mRNA; cDNA DKFZp564L222 (from clone DKFZp564L222) /cds=UNKNOWN /gb=AL049998 /gi=4884251 /ug=Hs.5848 /len=1286,36509_at
Cluster Incl. X16901:Human mRNA for RAP30 subunit of transcription initiation factor RAP30/74 /cds=(119,868) /gb=X16901 /gi=35864 /ug=Hs.58593 /len=1408,36510_at
Cluster Incl. AB020658:Homo sapiens mRNA for KIAA0851 protein, complete cds /cds=(69,1832) /gb=AB020658 /gi=4240190 /ug=Hs.5867 /len=3572,36511_at
Cluster Incl. L32179:Human arylacetamide deacetylase mRNA, complete cds /cds=(85,1284) /gb=L32179 /gi=537513 /ug=Hs.587 /len=1599,36512_at
Cluster Incl. U37283:Human microfibril-associated glycoprotein-2 MAGP-2 mRNA, complete cds /cds=(186,707) /gb=U37283 /gi=1165211 /ug=Hs.58882 /len=911,36513_at
Cluster Incl. U66469:Human cell growth regulator CGR19 mRNA, complete cds /cds=(27,1025) /gb=U66469 /gi=1724072 /ug=Hs.59106 /len=1258,36514_at
Cluster Incl. AJ238764:Homo sapiens mRNA for UDP-N-acetylglucosamine-2-epimerase_/ N-acetylmannosamine kinase /cds=(41,2209) /gb=AJ238764 /gi=4775361 /ug=Hs.5920 /len=3649,36515_at
Cluster Incl. AL080143:Homo sapiens mRNA; cDNA DKFZp434N043 (from clone DKFZp434N043) /cds=(0,1160) /gb=AL080143 /gi=5262590 /ug=Hs.59255 /len=2875,36516_at
Cluster Incl. M96982:Homo sapiens U2 snRNP auxiliary factor small subunit, complete cds /cds=(38,760) /gb=M96982 /gi=338262 /ug=Hs.59271 /len=904,36517_at
Cluster Incl. U15555:Human serine palmitoyltransferase (LCB2) mRNA, partial cds /cds=(0,1236) /gb=U15555 /gi=1001944 /ug=Hs.59403 /len=1532,36518_at
Cluster Incl. M13194:Human excision repair protein (ERCC1) mRNA, complete cds, clone pcDE /cds=(142,1035) /gb=M13194 /gi=567007 /ug=Hs.59544 /len=1097,36519_at
Cluster Incl. AB014590:Homo sapiens mRNA for KIAA0690 protein, partial cds /cds=(0,3645) /gb=AB014590 /gi=3327193 /ug=Hs.60103 /len=4038,36520_at
Cluster Incl. AB023213:Homo sapiens mRNA for KIAA0996 protein, complete cds /cds=(838,3384) /gb=AB023213 /gi=4589635 /ug=Hs.60177 /len=4502,36521_at
Cluster Incl. AB014516:Homo sapiens mRNA for KIAA0616 protein, partial cds /cds=(0,1905) /gb=AB014516 /gi=3327045 /ug=Hs.6051 /len=6718,36522_at
Cluster Incl. L06133:Human putative Cu++-transporting P-type ATPase mRNA, complete cds /cds=(145,4647) /gb=L06133 /gi=179252 /ug=Hs.606 /len=8478,36523_at
Cluster Incl. AB029035:Homo sapiens mRNA for KIAA1112 protein, partial cds /cds=(0,2086) /gb=AB029035 /gi=5689560 /ug=Hs.6066 /len=3800,36524_at
Cluster Incl. AL049953:Homo sapiens mRNA; cDNA DKFZp564P0622 (from clone DKFZp564P0622) /cds=(0,752) /gb=AL049953 /gi=4884201 /ug=Hs.6092 /len=1770,36525_at
Cluster Incl. AF000416:Homo sapiens EXT-like protein 2 (EXTL2) mRNA, complete cds /cds=(287,1279) /gb=AF000416 /gi=2895061 /ug=Hs.61152 /len=2833,36526_at
Cluster Incl. AL050405:Novel human gene mapping to chomosome X /cds=(39,1007) /gb=AL050405 /gi=4938274 /ug=Hs.61184 /len=1503,36527_at
Cluster Incl. M14218:Human argininosuccinate lyase mRNA, complete cds /cds=(114,1505) /gb=M14218 /gi=179082 /ug=Hs.61258 /len=1549,36528_at
Cluster Incl. AI885381:wl93b01.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2432425 /clone_end=3  /gb=AI885381 /gi=5590545 /ug=Hs.61273 /len=668,36529_at
Cluster Incl. AI885381:wl93b01.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2432425 /clone_end=3  /gb=AI885381 /gi=5590545 /ug=Hs.61273 /len=668,36530_g_at
Cluster Incl. AC005757:Homo sapiens chromosome 19, cosmid R32611 /cds=(0,482) /gb=AC005757 /gi=3688088 /ug=Hs.61273 /len=483,36531_r_at
Cluster Incl. AF039945:Homo sapiens synaptojanin 2B mRNA, partial cds /cds=(0,4332) /gb=AF039945 /gi=4104821 /ug=Hs.61289 /len=6505,36532_at
Cluster Incl. D83402:Homo sapiens gene for prostacyclin synthase /cds=(49,1551) /gb=D83402 /gi=1769408 /ug=Hs.61333 /len=5597,36533_at
Cluster Incl. AF070621:Homo sapiens clone 24760 mRNA sequence /cds=UNKNOWN /gb=AF070621 /gi=3283887 /ug=Hs.61408 /len=1675,36534_at
Cluster Incl. U04209:Human associated microfibrillar protein mRNA, complete cds /cds=(118,1437) /gb=U04209 /gi=434655 /ug=Hs.61418 /len=1955,36535_at
Cluster Incl. AF070614:Homo sapiens clone 24732 unknown mRNA, partial cds /cds=(0,1147) /gb=AF070614 /gi=3283878 /ug=Hs.61490 /len=1734,36536_at
Cluster Incl. AB011093:Homo sapiens mRNA for KIAA0521 protein, partial cds /cds=(0,3154) /gb=AB011093 /gi=3043565 /ug=Hs.6150 /len=5113,36537_at
Cluster Incl. AB018314:Homo sapiens mRNA for KIAA0771 protein, partial cds /cds=(0,2846) /gb=AB018314 /gi=3882262 /ug=Hs.6162 /len=4250,36538_at
Cluster Incl. W26785:15d6 Homo sapiens cDNA /gb=W26785 /gi=1306076 /ug=Hs.62036 /len=722,36539_at
Cluster Incl. AB018260:Homo sapiens mRNA for KIAA0717 protein, partial cds /cds=(0,1883) /gb=AB018260 /gi=3882154 /ug=Hs.62113 /len=4610,36540_at
Cluster Incl. AF061749:Homo sapiens tumorous imaginal discs protein Tid56 homolog (TID1) mRNA, complete cds /cds=(31,1473) /gb=AF061749 /gi=3372676 /ug=Hs.6216 /len=2639,36541_at
Cluster Incl. AF030409:Homo sapiens sodium-hydrogen exchanger 6 (NHE-6) mRNA, nuclear gene encoding mitochondrial protein, complete cds /cds=(35,2044) /gb=AF030409 /gi=2944232 /ug=Hs.62185 /len=4452,36542_at
Cluster Incl. J02931:Human placental tissue factor (two forms) mRNA, complete cds /cds=(111,998) /gb=J02931 /gi=339501 /ug=Hs.62192 /len=2141,36543_at
Cluster Incl. AF038193:Homo sapiens clone 23608 mRNA sequence /cds=UNKNOWN /gb=AF038193 /gi=2795913 /ug=Hs.6220 /len=1567,36544_at
Cluster Incl. AB011114:Homo sapiens mRNA for KIAA0542 protein, complete cds /cds=(393,3299) /gb=AB011114 /gi=3043607 /ug=Hs.62209 /len=5280,36545_s_at
Cluster Incl. AB011114:Homo sapiens mRNA for KIAA0542 protein, complete cds /cds=(393,3299) /gb=AB011114 /gi=3043607 /ug=Hs.62209 /len=5280,36546_r_at
Cluster Incl. AA521233:aa79a12.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-827134 /clone_end=3  /gb=AA521233 /gi=2261776 /ug=Hs.62209 /len=602,36547_r_at
Cluster Incl. AB020702:Homo sapiens mRNA for KIAA0895 protein, partial cds /cds=(0,1624) /gb=AB020702 /gi=4240278 /ug=Hs.6224 /len=4155,36548_at
